18_2	aver	4.31	22.58	16.62	23.0	16.6	19.5	11.556	1.688	1.08	0.24	0.08	0.32	0.222	0.074	0.296	0.148	1.562	1.75	2.812	0.188	1.125	0.0	0.312	2.188	7.88	
19_2	aver	7.33	39.94	29.22	40.62	29.88	35.11	16.632	2.111	1.0	0.263	0.105	0.526	0.263	0.105	0.526	0.684	2.111	4.0	5.111	0.444	2.222	0.0	0.667	4.444	4.33	
1_2	aver	5.43	29.23	22.32	31.23	23.46	23.07	8.972	2.571	1.0	0.111	0.139	0.194	0.111	0.139	0.194	0.167	2.571	2.786	3.143	1.214	1.286	0.071	0.214	2.429	8	
20_2	aver	5.36	27.93	20.93	28.0	20.69	23.07	9.788	2.357	1.0	0.091	0.061	0.242	0.091	0.061	0.242	0.152	2.357	2.143	2.857	0.143	1.357	0.0	0.143	2.643	5.07	
21_2	aver	5.58	22.3	16.48	21.91	15.45	19.33	11.6	1.667	1.0	0.15	0.05	0.35	0.15	0.05	0.35	0.3	1.667	2.333	2.667	0.25	1.333	0.0	0.583	2.583	5.33	
22_2	aver	7.1	29.93	23.02	29.67	22.67	24.2	10.522	2.3	1.0	0.348	0.304	0.261	0.348	0.304	0.261	0.261	2.3	2.8	3.1	0.5	1.5	0.0	0.4	3.3	6.8	
23_2	aver	4.12	17.72	13.15	18.19	13.44	15	8.226	1.824	1.0	0.097	0.097	0.129	0.097	0.097	0.129	0.097	1.824	1.647	1.882	0.353	0.647	0.0	0.294	1.471	4.82	
24_2	aver	5.26	22.45	16.62	22.83	17.17	19.11	9.075	2.105	1.0	0.2	0.05	0.125	0.2	0.05	0.125	0.225	2.105	2.211	2.263	0.316	1.421	0.105	0.158	2.421	6.21	
25_2	aver	5.7	31.51	23.62	30.67	22.22	26.2	10.917	2.4	1.091	0.227	0.227	0.182	0.208	0.208	0.167	0.083	2.2	2.8	3.4	0.9	1.5	0.0	0.6	2.4	10.5	
26_2	aver	4.31	21.97	17.58	20.33	16.5	17.23	8.296	2.077	1.0	0.148	0.185	0.111	0.148	0.185	0.111	0.222	2.077	1.923	1.692	0.308	1.308	0.0	0.154	1.846	5.15	
27_2	aver	3.95	17.59	13.48	17.0	12.84	15.5	7.949	1.95	1.026	0.026	0.053	0.184	0.026	0.051	0.179	0.128	1.9	1.6	1.7	0.4	0.8	0.05	0.1	1.25	4.2	
29_2	aver	4.93	22.78	16.47	23.0	15.77	19.57	15.222	1.286	1.0	0.278	0.111	0.389	0.278	0.111	0.389	0.444	1.286	2.643	2.643	0.071	1.357	0.071	0.357	2.214	7	
30_2	aver	5.73	37.09	29.31	39.6	31.0	27.36	12.542	2.182	1.0	0.375	0.208	0.208	0.375	0.208	0.208	0.458	2.182	3.091	3.636	0.273	1.727	0.273	0.182	3.182	6.64	
VKo_8_1	worst	4.86	20.1	16.67	19.67	15.67	19.57	12.455	1.571	1.0	0.0	0.091	0.091	0.0	0.091	0.091	0.364	1.571	3.286	3.143	0.0	1.0	0.0	0.0	1.429	7.86	
